permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
W200330053,F-501,2017,5868,6092,9280,9195,12130,14550,10632,15838,12130,11006,12652,8301,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200330057,F-506,2017,4697,19,0,0,5256,14208,14100,19204,10038,7061,6675,4600,700,21000,,사후관리DB(원본월별·5년이용량분석)
W200330062,F-504,2017,5414,4990,5231,7585,7884,10313,8637,12542,13195,9817,7860,7851,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200330064,R-024,2017,717,981,954,1197,842,63,114,135,197,216,311,156,800,18400,,사후관리DB(원본월별·5년이용량분석)
W200330065,F-508,2017,975,1225,1546,1269,1315,2757,3150,3502,4691,1180,1137,1234,700,21000,,사후관리DB(원본월별·5년이용량분석)
W200330077,F-507,2017,1115,1170,2723,3726,4201,4381,1859,3480,3408,3343,3947,3643,900,19000,,사후관리DB(원본월별·5년이용량분석)
W200330078,F-510,2017,11,13,1019,11,11,11,1834,15525,19870,3899,1787,9797,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200330079,F-502,2017,1135,1744,2783,1179,1750,1699,1135,2356,4341,3428,8381,5509,800,13500,,사후관리DB(원본월별·5년이용량분석)
W200330081,R-025,2017,35,38,30,13,29,65,13,70,188,82,222,157,700,14700,,사후관리DB(원본월별·5년이용량분석)
W200330082,F-505,2017,441,108,145,545,44,252,2151,508,33,2755,923,2937,900,19000,,사후관리DB(원본월별·5년이용량분석)
W200330083,F-509,2017,151,169,151,16777,21360,24693,23495,24983,25817,25470,26557,25551,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200340023,F-520,2017,1191.8,695.83,811.81,3390.34,1438.55,3590.21,1732.18,2558.8,2262.7,9193.9,6985.49,7851.58,800,24000,,
W200340024,F-516,2017,6379.05,8627.95,10685.5,15576.75,18012.7,23241.5,20313.2,24705.65,19160.8,13800.85,12822.6,11152.05,700,21000,,
W200340028,F-518,2017,4697.83,2366.06,2989.25,5444.77,6412.36,6498.83,4198.37,5917.38,5054.15,3995.61,5820.47,4386.23,800,24000,,
W200340029,F-514,2017,9327.09,17201.91,16114.66,2793.21,3269.53,3952.94,3059.84,3243.64,3145.27,2355.72,2407.49,1781.03,800,24000,,
W200340031,F-515,2017,20855.92,23765.94,22503.47,23130.05,22169.67,21749.16,16389.73,18151.96,18126.79,14663.85,20430.75,20530.52,700,21000,,
W200340032,R-026,2017,4688.01,7809.77,9658.84,17114.19,16142.22,20525.93,20762.21,19874.37,15497.82,13147.55,10358.73,9501.32,800,24000,,
W200340033,F-519,2017,3423.48,2481.6,2650.8,5163.42,3809.82,5386.2,2616.96,2171.4,2597.22,11530.98,7836.78,10792.14,800,24000,,
W200340034,F-521,2017,2644.84,1413.82,1336.7,3633.09,2025.05,5403.93,1516.64,4535.65,3153.24,9982.42,8237.28,8151.59,800,24000,,
W200340035,F-522,2017,2359.0,1405.29,1236.79,3922.68,822.28,2217.46,367.33,303.3,825.65,10089.78,6204.17,9240.54,800,24000,,
W200340036,F-517,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,24000,,
W200340046,F-513,2017,4758.13,5270.85,5025.54,6554.86,7213.44,9240.01,8254.35,7520.63,7136.09,7220.07,9971.52,12495.34,800,24000,,
W200340052,R-027,2017,989.3,1655.28,3185.8,2997.78,3792.04,5250.51,3971.27,4992.21,4677.67,3180.53,3452.9,1491.86,700,21000,,
W200410005,F-433,2017,2145,1827,2427,4284,3882,4989,3798,4748,4461,4769,5042,5816,600,18000,,사후관리DB(원본월별·5년이용량분석)
