permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark
D199740209,F-191,2017,11278.3,9385.87,9312.52,11246.02,8273.88,12589.79,10084.16,13631.36,12419.62,11815.22,12352.14,14467.55,900,27000,
D199740210,F-194,2017,14580.0,14745.0,14118.75,18840.0,18097.5,21885.0,18480.0,20497.5,22421.25,24322.5,22766.25,21945.0,700,21000,
D199740211,F-181,2017,10801.23,10659.32,10052.1,11144.44,9959.7,10322.71,9236.98,12966.09,22727.79,10494.32,12926.49,13253.2,800,24000,
D199740212,F-180,2017,17802.86,19020.47,20982.99,27093.86,25980.57,26290.27,25020.5,25977.31,26011.54,23181.86,21975.66,18521.69,600,18000,
D199740213,F-187,2017,4372.33,7594.95,8732.42,11735.87,11384.47,13538.19,14592.4,15227.86,15050.94,13727.97,13991.83,13518.6,600,18000,
D199740214,F-188,2017,16681.11,20003.69,22254.21,28100.1,35942.81,42773.47,39633.66,38588.87,33013.05,27205.35,26220.57,26774.34,700,21000,
D199740215,F-175,2017,30718.47,30693.21,25396.32,25645.03,30427.0,31427.7,30372.6,31348.03,31452.96,30417.29,28864.75,16716.49,600,18000,
D199740216,F-170,2017,9696.4,8739.53,8787.69,9646.15,14491.21,17439.28,12506.28,14937.19,9306.95,7596.31,8628.56,6813.23,700,21000,
D199740217,F-171,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,24000,
D199740218,F-173,2017,6122.93,6280.26,10541.4,9005.21,11264.71,12945.12,7997.83,7980.35,2639.72,1606.12,1992.9,1619.23,600,18000,
D199740219,F-174,2017,2274.04,3425.33,5677.96,5126.1,7435.82,10654.2,5630.38,6056.17,6491.47,4224.57,5903.93,6041.9,700,21000,
D199740220,F-179,2017,4172.22,5783.76,6170.53,15719.75,13145.73,15437.45,15657.51,14639.46,12169.91,15837.56,21098.96,12536.68,800,24000,
D199740221,F-176,2017,121.05,131.81,145.26,223.27,164.09,704.78,406.19,223.27,225.96,137.19,69.94,166.78,700,21000,
D199740222,F-177,2017,2141.99,6834.98,6427.6,8113.72,7513.96,7939.12,7340.98,6390.42,5682.35,5447.94,5383.28,6843.07,600,18000,
D199740223,F-201,2017,5186.0,5371.18,6817.62,7832.89,8008.86,9273.81,7155.74,8090.86,8522.95,7716.81,6996.35,5188.76,600,18000,
D199740224,F-200,2017,595.53,2287.99,3728.72,2529.47,3386.96,3567.05,2517.2,2443.52,1448.92,730.6,1712.92,789.95,600,18000,
D199820003,F-306,2017,3105.2,2746.15,2863.08,3887.45,2777.19,3398.03,2974.83,4833.19,4193.73,3749.83,2619.92,2648.89,550,16500,
D199820010,F-303,2017,15402.64,17466.62,20141.75,22760.33,24680.77,26977.46,23528.07,24380.63,25252.76,21511.94,21020.41,18140.84,700,21000,
